DATE                                    TITRE_LIVRE                             TITRE_CHAPITRE                          SOURCE_LIVRE                            
2022-11-12 02:12:54                     dimensional_store_system_in_apocalypse  chapter_0015                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-15                                   DSSIA
2022-11-12 02:12:55                     dimensional_store_system_in_apocalypse  chapter_0020                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-20                                   DSSIA
2022-11-12 02:12:56                     dimensional_store_system_in_apocalypse  chapter_0025                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-25                                   DSSIA
2022-11-12 02:12:57                     dimensional_store_system_in_apocalypse  chapter_0030                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-30                                   DSSIA
2022-11-12 02:12:58                     dimensional_store_system_in_apocalypse  chapter_0035                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-35                                   DSSIA
2022-11-12 02:12:59                     dimensional_store_system_in_apocalypse  chapter_0040                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-40                                   DSSIA
2022-11-12 02:13:00                     dimensional_store_system_in_apocalypse  chapter_0045                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-45                                   DSSIA
2022-11-12 02:13:01                     dimensional_store_system_in_apocalypse  chapter_0050                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-50                                   DSSIA
2022-11-12 02:13:02                     dimensional_store_system_in_apocalypse  chapter_0055                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-55                                   DSSIA
2022-11-12 02:13:03                     dimensional_store_system_in_apocalypse  chapter_0060                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-60                                   DSSIA
2022-11-12 02:13:04                     dimensional_store_system_in_apocalypse  chapter_0065                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-65                                   DSSIA
2022-11-12 02:13:05                     dimensional_store_system_in_apocalypse  chapter_0070                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-70                                   DSSIA
2022-11-12 02:13:06                     dimensional_store_system_in_apocalypse  chapter_0075                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-75                                   DSSIA
2022-11-12 02:13:07                     dimensional_store_system_in_apocalypse  chapter_0080                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-80                                   DSSIA
2022-11-12 02:13:08                     dimensional_store_system_in_apocalypse  chapter_0085                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-85                                   DSSIA
2022-11-12 02:13:09                     dimensional_store_system_in_apocalypse  chapter_0090                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-90                                   DSSIA
2022-11-12 02:13:10                     dimensional_store_system_in_apocalypse  chapter_0095                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-95                                   DSSIA
2022-11-12 02:13:11                     dimensional_store_system_in_apocalypse  chapter_0100                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-100                                   DSSIA
2022-11-12 02:13:12                     dimensional_store_system_in_apocalypse  chapter_0105                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-105                                   DSSIA
2022-11-12 02:13:13                     dimensional_store_system_in_apocalypse  chapter_0110                            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-110                                   DSSIA
2022-11-12 02:37:19                     hero_of_darkness                        Chapter 1: A Man at the Edge            https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-1                                     HOD
2022-11-12 02:37:20                     hero_of_darkness                        Chapter 2: The End                      https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-2                                     HOD
2022-11-12 02:37:20                     hero_of_darkness                        Chapter 3: God of Darkness              https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-3                                     HOD
2022-11-12 02:37:20                     hero_of_darkness                        Chapter 4: The Task                     https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-4                                     HOD
2022-11-12 02:37:20                     hero_of_darkness                        Chapter 5: The Reason                   https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-5                                     HOD
2022-11-12 02:37:21                     hero_of_darkness                        Chapter 6: The Choice                   https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-6                                     HOD
2022-11-12 02:37:21                     hero_of_darkness                        Chapter 7: The Selection                https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-7                                     HOD
2022-11-12 02:37:22                     hero_of_darkness                        Chapter 8: True Identity                https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-8                                     HOD
2022-11-12 02:37:22                     hero_of_darkness                        Chapter 9: The Arrival                  https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-9                                     HOD
2022-11-12 02:37:23                     hero_of_darkness                        Chapter 10: Let the Hunt begin          https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-10                                     HOD
2022-11-12 02:47:15                     hero_of_darkness                        Chapter_0005_The_Reason                 https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-5                                     HOD
2022-11-12 02:47:17                     hero_of_darkness                        Chapter_0010_Let_the_Hunt_begin         https://novelfullchapter.com/novelfullchapter/hero-of-darkness/chapter-10                                     HOD
2022-11-12 02:48:17                     reincarnated_as_a_plant_life            chapter_0005_training                   https://novelfullchapter.com/novelfullchapter/reincarnated-as-a-plant-life/chapter-5-training-a-leaf-army                                   RAAPL
2022-11-12 02:48:24                     reincarnated_as_a_plant_life            chapter_0010_growth                     https://novelfullchapter.com/novelfullchapter/reincarnated-as-a-plant-life/chapter-10-growth                                   RAAPL
2022-11-12 06:07:50                     i became the pope now what 09111244                                             https://www.lightnovelpub.com/novel/i-became-the-pope-now-what-09111244/1425-chapter-212                                  IBTPNW
2022-11-12 15:37:43                     dimensional_store_system_in_apocalypse  Chapter_0130_Victor's_Punishment        https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-130                                   DSSIA
2022-11-12 15:37:46                     dimensional_store_system_in_apocalypse  Chapter 0150 Zhan ...                   https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-150                                   DSSIA
2022-11-12 15:37:49                     dimensional_store_system_in_apocalypse  Chapter_0170_Separated_(2)              https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-170                                   DSSIA
2022-11-12 15:37:53                     dimensional_store_system_in_apocalypse  Chapter_0190_Preparation_(3)            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-190                                   DSSIA
2022-11-12 15:37:57                     dimensional_store_system_in_apocalypse  Chapter_0210_Wang's_Family_(3)          https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-210                                   DSSIA
2022-11-12 15:38:01                     dimensional_store_system_in_apocalypse  Chapter_0230_Capture                    https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-230                                   DSSIA
2022-11-12 15:38:04                     dimensional_store_system_in_apocalypse  Chapter_0250_Mobile_Command_Center_(1)  https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-250                                   DSSIA
2022-11-12 15:48:46                     dimensional_store_system_in_apocalypse  Chapter_0130_Victor's_Punishment        https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-130                                   DSSIA
2022-11-12 15:48:55                     dimensional_store_system_in_apocalypse  Chapter 0150 Zhan ...                   https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-150                                   DSSIA
2022-11-12 15:49:16                     dimensional_store_system_in_apocalypse  Chapter_0170_Separated_(2)              https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-170                                   DSSIA
2022-11-12 15:49:30                     dimensional_store_system_in_apocalypse  Chapter_0190_Preparation_(3)            https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-190                                   DSSIA
2022-11-12 15:50:05                     dimensional_store_system_in_apocalypse  Chapter_0210_Wang's_Family_(3)          https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-210                                   DSSIA
2022-11-12 15:50:34                     dimensional_store_system_in_apocalypse  Chapter_0230_Capture                    https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-230                                   DSSIA
2022-11-12 15:53:48                     dimensional_store_system_in_apocalypse  Chapter_0250_Mobile_Command_Center_(1)  https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-250                                   DSSIA
2022-11-12 15:54:32                     dimensional_store_system_in_apocalypse  Chapter_0130_Victor's_Punishment        https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-130                                   DSSIA
2022-11-12 15:54:35                     dimensional_store_system_in_apocalypse  Chapter 0150 Zhan ...                   https://novelfullchapter.com/novelfullchapter/dimensional-store-system-in-apocalypse/chapter-150                                   DSSIA
